SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZR007-21,A QUESTAO NUCLEAR NAS RELACOES INTERNACIONAIS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM035-17,ADITIVACAO DE POLIMEROS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,SINTESE DE POLIMEROS,MATERIAIS POLIMERICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP041-14,ADMINISTRACAO PUBLICA E REFORMA DO ESTADO EM PERSPECTIVA COMPARADA,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS016-17,AERODINAMICA I,4-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,DINAMICA DE GASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS019-17,AERODINAMICA II,4-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,AERODINAMICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS012-17,AEROELASTICIDADE,4-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,AERODINAMICA I,VIBRACOES,MECANICA DOS SOLIDOS I,METODOS COMPUTACIONAIS PARA ANALISE ESTRUTURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS002-17,AERONAUTICA I-A,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS001-17,AERONAUTICA I-B,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,AERONAUTICA I-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS002-17,AERONAUTICA II,3-1-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,AERONAUTICA I-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR027-21,AFRICA NAS RELACOES INTERNACIONAIS,4-0-0-4,LM - LICENCIATURA EM MATEMATICA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,FORMACAO DO SISTEMA INTERNACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0001-19,AFRO-BRASILEIRA: RELACOES ETNICO-RACIAIS,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
